CHROM BIN_START end value
chr1 0 5917797 0
chr1 0 245000 1
chr2 0 5608903 0
chr1 5220000 5917797 1
chr2 200000 700000 1
chr2 1750000 2010000 1
chr2 2860000 3500000 1
chr3 0 5204673 0
chr3 100000 800000 1
chr3 4930000 5204673 1
chr4 0 4483619 0
chr5 0 4379536 0
chr5 2880000 3450000 1
chr5 4120000 4379536 1
chr5 4100000 4379536 1
chr6 0 3318494 0
chr7 0 3273176 0
chr7 1 334000 1
chr8 0 2553250 0
chr8 440000 677000 1
chr9 0 2371439 0
chr9 1850000 2371439 1
chr9 200000 660000 1
chr9 200000 500000 1
chr10 0 2252530 0
chr10 1430000 1837517 1
chr10 1300000 1700000 1
chr11 0 2056362 0
chr11 1880000 2100000 1
chr12 0 1287609 0
