Chr	StartPos	EndPos	Likelihood
chr1	60069	60070	0.0
chr1	60125	60139	0.0
chr1	60145	60215	0.0
chr1	60250	60629	0.0
chr1	60250	60592	0.0
chr1	60234	60592	0.0
chr1	60592	60629	0.0
chr1	60657	60681	0.0
chr1	60708	60734	0.0
chr1	60766	60907	0.0
chr1	60764	60907	0.0
chr1	60907	61047	0.0
chr1	61047	61080	0.0
chr1	61104	61164	0.0
chr1	61179	61206	0.0
chr1	61222	61265	0.0
chr1	61275	61322	0.0
chr1	61361	61419	0.0
chr1	61433	61447	0.0
chr1	61497	61518	0.0
chr1	61571	61579	0.0
chr1	61616	61738	0.0
chr1	61770	61786	0.0
chr1	61790	61929	0.0
chr1	61952	62074	0.0
chr1	62074	62122	0.0
chr1	62167	62184	0.32945399999999997
chr1	62198	62873	0.0
chr1	62184	62873	0.0
chr1	62165	62873	0.0
chr1	62873	63352	0.0
chr1	63352	64516	0.0
chr1	64516	65848	0.1384432
chr1	64516	65848	0.0
chr1	64516	65848	0.21094859999999999
chr1	65848	68142	0.0
chr1	65848	68115	0.0
chr1	68115	68142	0.0
chr1	68142	68292	0.0
chr1	68142	68289	0.0
chr1	68292	68474	0.0
chr1	68289	68474	0.0
chr1	68496	68534	0.0
chr1	68558	68642	0.0
chr1	68642	68700	0.0
chr1	68699	68733	0.0
chr1	68787	68798	0.0
chr1	68827	68874	0.0
chr1	68898	68964	0.0
chr1	68964	68988	0.0
chr1	69049	69052	0.0
chr1	69114	69378	0.0
chr1	69378	69471	0.0
chr1	69471	69871	0.0
chr1	69471	69870	0.0
chr1	69871	70705	0.0
chr1	69871	70665	0.0
chr1	69870	70665	0.0
chr1	70665	70705	0.0
chr1	70705	71859	0.0
chr1	70665	71859	0.0
chr1	71859	73937	0.0
chr1	73937	74160	0.0
chr1	74160	74832	0.0
chr1	74160	74804	0.0
chr1	74804	74832	0.0
chr1	74832	76889	0.0
chr1	74804	76889	0.0
chr1	76889	79794	0.0
chr1	76889	79665	0.0
chr1	79665	79794	0.0
chr1	79794	81082	0.0
chr1	81082	81294	0.0
chr1	81294	81450	0.0
chr1	81450	81569	0.0
chr1	81569	82006	0.0
chr1	82006	101272	0.0
chr1	82006	100199	0.0
chr1	82006	101113	0.0
chr1	81569	100199	0.0
chr1	81450	100199	0.0
chr1	81294	100199	0.0
chr1	81082	100199	0.0
chr1	100199	101113	0.0
chr1	101113	101272	0.0
chr1	101272	102191	0.0
chr1	102191	102701	0.0
chr1	102701	102935	0.0
chr1	102935	108181	0.0
chr1	102701	108181	0.0
chr1	108181	108980	0.0
chr1	108980	111415	0.0
chr1	111415	114110	0.0
chr1	114110	114991	0.0
chr1	114991	115422	0.0
chr1	115422	116132	0.0
chr1	115422	116132	0.116139
chr1	116132	118410	0.0
chr1	116132	118306	0.0
chr1	116132	118370	0.0
chr1	116132	118404	0.0
chr1	116132	118344	0.0
chr1	116132	118399	0.0
chr1	116132	118385	0.0
chr1	118344	118359	0.0
chr1	118410	118517	0.0
chr1	118404	118517	0.0
chr1	118538	118614	0.0
chr1	118614	118619	0.0
chr1	118670	118695	0.0
chr1	118736	118927	0.0
chr1	118927	118999	0.0
chr1	118999	119142	0.0
chr1	119167	119355	0.0
chr1	119355	119612	0.0
chr1	119355	119611	0.0
chr1	119612	120265	0.0
chr1	119611	120265	0.0
chr1	120265	121336	0.0
chr1	121336	124462	0.0
chr1	121336	124462	0.117503
chr1	124462	125560	0.0
chr1	125560	130300	0.0
chr1	130300	130755	0.0
chr1	130755	133099	0.0
chr1	133099	133380	0.0
chr1	133380	133470	0.0
chr1	133470	135882	0.0
chr1	133380	135882	0.0
chr1	135882	138670	0.0
chr1	138670	139930	0.2270074
chr1	138670	139930	0.0
chr1	139930	143025	0.0
chr1	143025	144846	0.0
chr1	144846	145354	0.0
chr1	145354	149192	0.0
chr1	149192	150404	0.0
chr1	150404	150644	0.0
chr1	150644	152641	0.0
chr1	152641	153394	0.0
chr1	152641	153366	0.0
chr1	153394	153985	0.0
chr1	153366	153985	0.0
chr1	153985	156492	0.0
chr1	156492	156940	0.0
chr1	156940	156972	0.0
chr1	156972	157212	0.0
chr1	157212	158389	0.0
chr1	158389	159795	0.0
chr1	159795	160974	0.0
chr1	159795	160974	0.2134402
chr1	160974	161514	0.0
chr1	160974	161503	0.0
chr1	161514	161896	0.0
chr1	161503	161896	0.0
chr1	161896	163209	0.0
chr1	163209	165963	0.0
chr1	163209	165796	0.0
chr1	163209	165837	0.0
chr1	165796	165837	0.0
chr1	165837	165963	0.0
chr1	165963	167982	0.0
chr1	165837	167982	0.0
chr1	165796	167982	0.0
chr1	167982	168235	0.0
chr1	168235	168278	0.0
chr1	168285	168329	0.0
chr1	168329	168432	0.0
chr1	168432	168494	0.0
chr1	168494	168528	0.0
chr1	168531	168681	0.0
chr1	168528	168675	0.0
chr1	168704	168760	0.0
chr1	168760	168864	0.0
chr1	168864	168998	0.0
chr1	168998	169045	0.0
chr1	169045	169227	0.0
chr1	169227	169313	0.0
chr1	169313	169387	0.0
chr1	169387	170241	0.0
chr1	170241	170675	0.0
chr1	170675	171854	0.0
chr1	171854	172487	0.0
chr1	172487	173013	0.0
chr1	173013	173561	0.0
chr1	173013	173561	0.3047295
chr1	173561	174257	0.0
chr1	174257	175189	0.0
chr1	175189	175723	0.0
chr1	175723	177645	0.0
chr1	177645	178830	0.0
chr1	178830	180053	0.0
chr1	178830	180051	0.0
chr1	178830	180053	0.19553810000000002
chr1	180053	180324	0.0
chr1	180051	180324	0.0
chr1	180324	180513	0.0
chr1	180513	180811	0.0
chr1	180811	181369	0.0
chr1	181369	181748	0.0
chr1	181369	181731	0.0
chr1	181748	183257	0.0
chr1	181731	183257	0.0
chr1	183257	183712	0.0
chr1	183257	183677	0.0
chr1	183712	185075	0.0
chr1	183677	185075	0.0
chr1	185075	185467	0.0
chr1	185467	186843	0.0
chr1	186843	192928	0.0
chr1	186843	192836	0.0
chr1	192836	192928	0.0
chr1	192928	194446	0.0
chr1	192836	194446	0.0
chr1	194446	194680	0.0
chr1	194680	194793	0.0
chr1	194793	194966	0.0
chr1	194966	195333	0.0
chr1	194966	195328	0.0
chr1	195333	196251	0.0
chr1	195328	196251	0.0
chr1	196251	196913	0.0
chr1	196913	198059	0.0
chr1	198059	199097	0.0
chr1	199097	199653	0.0
chr1	199653	202453	0.0
chr1	202453	205725	0.0
chr1	205725	206240	0.0
chr1	206240	206569	0.0
chr1	206569	207253	0.0
chr1	207253	210809	0.0
chr1	207253	210809	0.3049522
chr1	210809	212798	0.0
chr1	212798	213887	0.0
chr1	213887	214116	0.0
chr1	214116	214823	0.0
chr1	214823	215287	0.0
chr1	215287	215335	0.0
chr1	215335	217497	0.0
chr1	215287	217497	0.0
chr1	217497	218070	0.0
chr1	218070	219885	0.16606729999999997
chr1	218070	219885	0.0
chr1	219885	220513	0.0
chr1	220513	222490	0.0
chr1	220513	222490	0.07079098
chr1	222490	225001	0.0
chr1	225001	225630	0.0
chr1	225630	225932	0.0
chr1	225932	226060	0.0
chr1	226060	227181	0.0
chr1	227181	227254	0.0
chr1	227254	227276	0.0
chr1	227276	227562	0.0
chr1	227254	227562	0.0
chr1	227562	228179	0.0
chr1	227562	228179	0.06333667
chr1	228179	229439	0.0
chr1	229439	229680	0.0
chr1	229680	230066	0.0
chr1	230066	231614	0.0
chr1	231614	231741	0.0
chr1	231614	231736	0.0
chr1	231741	231795	0.0
chr1	231795	231870	0.0
chr1	231870	232050	0.0
chr1	232103	232231	0.0
chr1	232103	232219	0.0
chr1	232231	232438	0.0
chr1	232219	232438	0.0
chr1	232469	232505	0.0
chr1	232565	232590	0.0
chr1	232590	232646	0.0
chr1	232670	232765	0.0
chr1	232765	232903	0.0
chr1	232932	232964	0.0
chr1	232964	233033	0.0
chr1	233058	233110	0.0
chr1	233146	233167	0.0
chr1	233190	233291	0.0
chr1	233312	233357	0.0
chr1	233416	233419	0.0
chr1	233452	233486	0.0
chr1	233503	233577	0.0
chr1	233577	233645	0.0
chr1	233645	233700	0.0
chr1	233700	234027	0.0
