Chr	Start	End	Omega
chr1	37988	68328	1.327541
chr1	62165	68479	4.8643540000000005
chr1	62165	78219	3.881013
chr1	62165	78219	3.128762
chr1	62245	78219	14.799547
chr1	65494	80279	9.333294
chr1	67262	112687	7.316447999999999
chr1	62165	116558	2.831139
chr1	62165	116558	2.23962
chr1	62165	119596	2.435364
chr1	61196	120672	2.041986
chr1	61196	136433	2.2743580000000003
chr1	61196	202372	1.978388
chr1	61196	202372	1.552976
chr1	61196	203444	1.548129
chr1	61196	203444	1.5187629999999999
chr1	74357	227418	1.521725
chr1	80279	237175	1.675631
chr1	80279	237337	1.7915
chr1	80279	238296	1.913831
chr1	80279	239157	2.042076
chr1	80279	239755	2.314381
chr1	80279	239989	2.604962
chr1	68479	239989	2.307044
chr1	68479	240677	2.421304
chr1	68479	240814	2.537272
chr1	68479	240814	2.846114
chr1	68479	240814	3.098482
chr1	140394	203444	3.297732
chr1	136433	161896	10.159369
chr1	140450	203444	6.008557
chr1	140450	203444	6.803294
chr1	141448	202372	5.769576
chr1	150534	202372	10.538041999999999
chr1	150534	243288	5.054576
chr1	150534	255457	4.680964
chr1	150534	255457	4.013605
chr1	150534	243288	3.9620589999999996
chr1	150534	255457	4.329631
chr1	150534	255457	4.575424
chr1	150534	243288	5.070486
chr1	150534	243288	5.999185
chr1	176260	255457	11.206854
chr1	176298	227418	15.157313
chr1	161896	222651	4.9028279999999995
chr1	150534	243288	4.983555
chr1	150534	243288	5.086907
chr1	150666	243288	5.7770660000000005
chr1	150666	310371	4.115225
chr1	150666	313335	4.115371
chr1	150666	313386	4.164917
chr1	150666	313710	4.194401
chr1	150666	314027	4.210145
chr1	150666	314169	4.24345
chr1	150666	314254	4.260982
chr1	150666	314617	4.316534
chr1	150666	314790	4.335965
chr1	150666	314826	4.376018
chr1	150666	314826	4.564896
chr1	150666	318212	4.637231
chr1	150666	318442	4.661617
chr1	150666	318569	4.686087000000001
chr1	207924	243288	4.22129
chr1	150666	318569	4.0025010000000005
chr1	150666	324184	4.02456
chr1	150666	324184	3.89915
chr1	150666	325557	3.8417529999999998
chr1	150666	325557	3.7929480000000004
chr1	150666	326395	3.819801
chr1	150666	326395	3.5888400000000003
chr1	150666	326395	3.578707
chr1	150666	326395	3.579881
chr1	150666	326395	3.7185120000000005
chr1	150666	326395	3.69087
chr1	150666	326395	3.701911
chr1	150666	326395	3.776386
chr1	150666	326395	3.8388449999999996
chr1	150666	326395	3.9182080000000004
chr1	150666	326395	4.015127
chr1	150666	326395	4.1306449999999995
chr1	150666	326395	4.266316000000001
chr1	236496	326395	4.72
chr1	236496	326395	5.20087
chr1	236496	326395	5.785772
chr1	236496	326395	5.823329
chr1	236496	326395	6.532376999999999
chr1	236496	326395	7.431651
chr1	236496	326395	8.606715
chr1	236496	326395	6.704077000000001
chr1	236496	326395	6.396131
chr1	236496	326395	5.820004
chr1	236496	326395	6.542016
chr1	236496	326395	7.455924
chr1	236496	326395	8.647997
chr1	236496	326395	10.265521000000001
chr1	236496	359740	10.319925
chr1	236496	360218	10.37423
chr1	250473	314826	24.516769
chr1	236496	360218	9.210752000000001
chr1	236496	291213	8.558281
chr1	236496	360218	7.349760000000001
chr1	236496	361075	7.3801179999999995
chr1	236496	361226	7.4409
chr1	236496	361644	7.501656
chr1	223162	362142	7.061628999999999
chr1	223162	363218	7.0893690000000005
chr1	223162	364330	7.1171169999999995
chr1	223162	364545	7.144819999999999
chr1	236496	291213	7.081517
chr1	223162	371663	7.188853999999999
chr1	223162	371756	7.245367999999999
chr1	223162	371819	7.421494
chr1	223162	371875	7.513247
chr1	223162	372133	7.5187729999999995
chr1	223162	372204	7.549911
chr1	223162	372272	7.613211
chr1	223162	372368	7.741803999999999
chr1	223162	372408	7.774419
chr1	223162	372471	7.8070949999999995
chr1	223162	372595	7.973791
chr1	223162	372645	8.075825
chr1	223162	372723	8.179
chr1	223162	372787	8.283497
chr1	223162	372876	8.38893
chr1	223162	372953	8.495032
chr1	223162	373057	8.638016
chr1	223162	373203	8.74592
